Time,LSTM_Pred,Time in state
2/18/2026 11:13,CYCLESTART,14:07.0
2/18/2026 11:27,INCYCLE,00:01.3
2/18/2026 11:27,CYCLESTART,00:02.0
2/18/2026 11:27,INCYCLE,00:21.0
2/18/2026 11:28,CYCLESTART,00:08.0
2/18/2026 11:28,INCYCLE,00:07.0
2/18/2026 11:28,CYCLESTART,00:05.0
2/18/2026 11:28,INCYCLE,00:09.0
2/18/2026 11:28,CYCLESTART,00:07.0
2/18/2026 11:28,INCYCLE,00:19.0
2/18/2026 11:28,CYCLESTART,00:01.0
2/18/2026 11:28,INCYCLE,00:15.0
2/18/2026 11:29,IDLE,00:02.0
2/18/2026 11:29,INCYCLE,01:22.5
2/18/2026 11:30,IDLE,00:04.0
2/18/2026 11:30,CYCLESTART,00:05.0
2/18/2026 11:30,IDLE,00:16.0
2/18/2026 11:31,INCYCLE,01:35.5
2/18/2026 11:32,IDLE,00:01.0
2/18/2026 11:32,INCYCLE,00:09.5
2/18/2026 11:32,IDLE,00:04.6
2/18/2026 11:32,INCYCLE,00:03.0
2/18/2026 11:32,IDLE,00:03.0
2/18/2026 11:32,INCYCLE,00:09.0
2/18/2026 11:33,IDLE,00:03.0
2/18/2026 11:33,INCYCLE,00:48.0
2/18/2026 11:33,CYCLESTART,00:01.0
2/18/2026 11:33,INCYCLE,00:04.0
2/18/2026 11:34,CYCLESTART,00:02.0
2/18/2026 11:34,INCYCLE,00:37.0
2/18/2026 11:34,CYCLESTART,00:10.5
2/18/2026 11:34,INCYCLE,00:02.0
2/18/2026 11:34,CYCLESTART,00:02.0
2/18/2026 11:34,INCYCLE,00:11.0
2/18/2026 11:35,CYCLESTART,00:02.0
2/18/2026 11:35,INCYCLE,00:03.0
2/18/2026 11:35,CYCLESTART,00:12.0
2/18/2026 11:35,INCYCLE,00:04.0
2/18/2026 11:35,CYCLESTART,00:04.0
2/18/2026 11:35,INCYCLE,00:21.0
2/18/2026 11:35,CYCLESTART,00:28.0
2/18/2026 11:36,INCYCLE,00:02.0
2/18/2026 11:36,CYCLESTART,09:01.8
2/18/2026 11:45,INCYCLE,00:31.5
2/18/2026 11:45,CYCLESTART,00:17.0
2/18/2026 11:46,INCYCLE,00:19.0
2/18/2026 11:46,CYCLESTART,00:05.0
2/18/2026 11:46,INCYCLE,00:12.0
2/18/2026 11:46,CYCLESTART,00:04.0
2/18/2026 11:46,INCYCLE,00:02.0
2/18/2026 11:46,CYCLESTART,00:04.0
2/18/2026 11:47,INCYCLE,00:03.0
2/18/2026 11:47,CYCLESTART,00:05.9
2/18/2026 11:47,INCYCLE,00:01.0
2/18/2026 11:47,CYCLESTART,00:01.0
2/18/2026 11:47,INCYCLE,00:02.0
2/18/2026 11:47,CYCLESTART,00:07.0
2/18/2026 11:47,INCYCLE,00:01.0
2/18/2026 11:47,CYCLESTART,00:07.0
2/18/2026 11:47,INCYCLE,00:02.0
2/18/2026 11:47,CYCLESTART,00:08.0
2/18/2026 11:47,INCYCLE,00:03.0
2/18/2026 11:47,CYCLESTART,00:03.0
2/18/2026 11:47,INCYCLE,00:05.0
2/18/2026 11:47,CYCLESTART,00:03.5
2/18/2026 11:47,INCYCLE,00:01.0
2/18/2026 11:47,CYCLESTART,00:03.0
2/18/2026 11:47,INCYCLE,00:10.0
2/18/2026 11:48,CYCLESTART,00:02.0
2/18/2026 11:48,INCYCLE,00:01.0
2/18/2026 11:48,CYCLESTART,00:03.0
2/18/2026 11:48,INCYCLE,00:10.0
2/18/2026 11:48,CYCLESTART,00:01.0
2/18/2026 11:48,INCYCLE,00:02.0
2/18/2026 11:48,CYCLESTART,00:03.0
2/18/2026 11:48,INCYCLE,00:25.0
2/18/2026 11:48,CYCLESTART,00:30.1
2/18/2026 11:49,INCYCLE,00:01.0
2/18/2026 11:49,CYCLESTART,00:10.9
2/18/2026 11:49,INCYCLE,00:28.5
2/18/2026 11:50,CYCLESTART,00:38.1
2/18/2026 11:50,INCYCLE,00:05.9
2/18/2026 11:50,CYCLESTART,00:01.0
2/18/2026 11:50,INCYCLE,00:02.0
2/18/2026 11:50,CYCLESTART,00:02.0
2/18/2026 11:50,INCYCLE,00:55.0
2/18/2026 11:51,CYCLESTART,06:10.6
2/18/2026 11:57,INCYCLE,00:02.0
2/18/2026 11:58,CYCLESTART,00:01.0
2/18/2026 11:58,INCYCLE,00:10.0
2/18/2026 11:58,CYCLESTART,00:10.0
2/18/2026 11:58,INCYCLE,00:43.0
2/18/2026 11:59,CYCLESTART,00:04.0
2/18/2026 11:59,INCYCLE,00:04.0
2/18/2026 11:59,CYCLESTART,00:06.0
2/18/2026 11:59,INCYCLE,00:03.0
2/18/2026 11:59,CYCLESTART,00:01.0
2/18/2026 11:59,INCYCLE,00:35.0
2/18/2026 11:59,IDLE,01:11.5
2/18/2026 12:01,CYCLESTART,16:17.7
2/18/2026 12:17,UNAVAILABLE,22:17.1
2/18/2026 12:39,INCYCLE,09:31.5
2/18/2026 12:49,IDLE,00:07.0
2/18/2026 12:49,INCYCLE,00:24.0
2/18/2026 12:49,IDLE,00:02.0
2/18/2026 12:49,INCYCLE,38:27.6
2/18/2026 13:28,IDLE,00:29.0
2/18/2026 13:28,INCYCLE,00:23.0
2/18/2026 13:29,IDLE,00:20.0
2/18/2026 13:29,CYCLESTART,00:10.0
2/18/2026 13:29,IDLE,03:36.5
2/18/2026 13:33,INCYCLE,00:02.5
2/18/2026 13:33,IDLE,00:01.0
2/18/2026 13:33,INCYCLE,00:35.0
2/18/2026 13:33,IDLE,00:07.0
2/18/2026 13:34,INCYCLE,01:25.2
2/18/2026 13:35,IDLE,00:03.0
2/18/2026 13:35,INCYCLE,00:01.0
2/18/2026 13:35,IDLE,10:00.0
2/18/2026 13:45,CYCLESTART,00:02.0
2/18/2026 13:45,IDLE,01:34.0
2/18/2026 13:47,CYCLESTART,00:01.0
2/18/2026 13:47,IDLE,00:27.0
2/18/2026 13:47,CYCLESTART,00:07.0
2/18/2026 13:47,IDLE,00:02.0
2/18/2026 13:47,CYCLESTART,00:01.0
2/18/2026 13:47,IDLE,00:03.5
2/18/2026 13:47,CYCLESTART,08:01.3
2/18/2026 13:55,IDLE,00:02.0
2/18/2026 13:55,CYCLESTART,00:01.0
2/18/2026 13:55,IDLE,09:40.2
2/18/2026 14:05,CYCLESTART,00:02.0
2/18/2026 14:05,IDLE,00:14.0
2/18/2026 14:05,CYCLESTART,00:28.0
2/18/2026 14:06,IDLE,00:17.0
2/18/2026 14:06,CYCLESTART,00:01.0
2/18/2026 14:06,IDLE,00:02.0
2/18/2026 14:06,CYCLESTART,00:01.0
2/18/2026 14:06,IDLE,00:02.0
2/18/2026 14:06,CYCLESTART,00:01.0
2/18/2026 14:06,IDLE,00:01.0
2/18/2026 14:06,CYCLESTART,00:19.0
2/18/2026 14:06,IDLE,00:04.0
2/18/2026 14:07,CYCLESTART,00:07.0
2/18/2026 14:07,IDLE,00:23.5
2/18/2026 14:07,CYCLESTART,01:46.1
2/18/2026 14:09,IDLE,06:39.2
2/18/2026 14:15,CYCLESTART,00:04.0
2/18/2026 14:16,IDLE,00:12.5
2/18/2026 14:16,CYCLESTART,00:01.0
2/18/2026 14:16,IDLE,00:04.0
2/18/2026 14:16,CYCLESTART,00:02.0
2/18/2026 14:16,IDLE,03:45.6
2/18/2026 14:20,CYCLESTART,00:01.0
2/18/2026 14:20,IDLE,00:24.0
2/18/2026 14:20,CYCLESTART,00:02.0
2/18/2026 14:20,IDLE,00:01.0
2/18/2026 14:20,CYCLESTART,00:03.0
2/18/2026 14:20,IDLE,00:18.0
2/18/2026 14:20,CYCLESTART,00:03.0
2/18/2026 14:21,IDLE,00:01.0
2/18/2026 14:21,CYCLESTART,00:03.0
2/18/2026 14:21,IDLE,00:13.0
2/18/2026 14:21,CYCLESTART,00:01.0
2/18/2026 14:21,IDLE,00:02.0
